"regName","shortString","count","avg_days","Group","key"
"Emp_126","0.melphalan;28.lenalidomide;56.dexamethasone;",29,16,"MRD","dexamethasone+lenalidomide+melphalan"
"Emp_126","0.dexamethasone;28.lenalidomide;56.melphalan;",29,16,"MRD","dexamethasone+lenalidomide+melphalan"
"Emp_127","0.thalidomide;28.dexamethasone;56.lenalidomide;",2,24,"RDT","dexamethasone+lenalidomide+thalidomide"
"Emp_128","0.melphalan;56.dexamethasone;",98,9,"MD","dexamethasone+melphalan"
"Emp_128","0.dexamethasone;56.melphalan;",98,9,"MD","dexamethasone+melphalan"
"Emp_129","0.dexamethasone;28.thalidomide;56.melphalan;",1,9,"MTD","dexamethasone+melphalan+thalidomide"
"Emp_13","0.thalidomide;14.carfilzomib;28.dexamethasone;42.bortezomib;56.daratumumab;",1,3,NA,"bortezomib+carfilzomib+daratumumab+dexamethasone+thalidomide"
"Emp_130","0.dexamethasone;56.pomalidomide;",45,11,"PomD","dexamethasone+pomalidomide"
"Emp_130","0.pomalidomide;56.dexamethasone;",45,11,"PomD","dexamethasone+pomalidomide"
"Emp_131","0.dexamethasone;56.thalidomide;",19,23,"TD","dexamethasone+thalidomide"
"Emp_131","0.thalidomide;56.dexamethasone;",19,23,"TD","dexamethasone+thalidomide"
"Emp_132","0.dexamethasone;56.venetoclax;",16,12,"VenD","dexamethasone+venetoclax"
"Emp_132","0.venetoclax;56.dexamethasone;",16,12,"VenD","dexamethasone+venetoclax"
"Emp_133","0.ixazomib;",31,37,"I","ixazomib"
